0.000000000000000e+00	2.500000e+00	2.494705e+00
1.000000000000000e-03	2.500000e+00	2.494705e+00
1.000023666830835e-03	2.547334e+00	2.494709e+00
1.000071000492504e-03	2.642001e+00	2.494721e+00
1.000139912216819e-03	2.779824e+00	2.494745e+00
1.000211703530653e-03	2.923407e+00	2.494775e+00
1.000298675416878e-03	3.097351e+00	2.494812e+00
1.000402212948603e-03	3.304426e+00	2.494857e+00
1.000609288012052e-03	3.718576e+00	2.494947e+00
1.000821434234955e-03	4.142869e+00	2.495041e+00
1.001000000000000e-03	4.500000e+00	2.495121e+00
1.001017856576504e-03	4.500000e+00	2.495129e+00
1.001053569729514e-03	4.500000e+00	2.495145e+00
1.001553553871640e-03	4.500000e+00	2.495370e+00
1.002124964319784e-03	4.500000e+00	2.495627e+00
1.003267785216072e-03	4.500000e+00	2.496142e+00
1.005553427008648e-03	4.500000e+00	2.497173e+00
1.008768502216639e-03	4.500000e+00	2.498624e+00
1.014051906825572e-03	4.500000e+00	2.501008e+00
1.022056863505735e-03	4.500000e+00	2.504619e+00
1.036024472829049e-03	4.500000e+00	2.510921e+00
1.055555722829049e-03	4.500000e+00	2.519731e+00
1.075086972829049e-03	4.500000e+00	2.528540e+00
1.094618222829049e-03	4.500000e+00	2.537347e+00
1.133680722829049e-03	4.500000e+00	2.554955e+00
1.192274472829049e-03	4.500000e+00	2.581350e+00
1.242497687114763e-03	4.500000e+00	2.603960e+00
1.292720901400478e-03	4.500000e+00	2.626556e+00
1.342944115686192e-03	4.500000e+00	2.649137e+00
1.393167329971907e-03	4.500000e+00	2.671705e+00
1.443390544257621e-03	4.500000e+00	2.694258e+00
1.493613758543335e-03	4.500000e+00	2.716797e+00
1.543836972829050e-03	4.500000e+00	2.739322e+00
1.970734294257620e-03	4.500000e+00	2.930323e+00
2.397631615686189e-03	4.500000e+00	3.120126e+00
2.824528937114759e-03	4.500000e+00	3.308729e+00
3.251426258543329e-03	4.500000e+00	3.496133e+00
3.678323579971899e-03	4.500000e+00	3.682338e+00
4.105220901400469e-03	4.500000e+00	3.867344e+00
4.532118222829038e-03	4.500000e+00	4.051150e+00
4.557229829971894e-03	4.500000e+00	4.061910e+00
4.582341437114752e-03	4.500000e+00	4.072665e+00
4.607453044257608e-03	4.500000e+00	4.083415e+00
4.632564651400464e-03	4.500000e+00	4.094160e+00
4.657676258543322e-03	4.500000e+00	4.104900e+00
4.682787865686178e-03	4.500000e+00	4.115635e+00
4.707899472829034e-03	4.500000e+00	4.126365e+00
4.727430722829034e-03	4.500000e+00	4.134706e+00
4.746961972829034e-03	4.500000e+00	4.143044e+00
4.766493222829033e-03	4.500000e+00	4.151380e+00
4.786024472829033e-03	4.500000e+00	4.159711e+00
4.805555722829032e-03	4.500000e+00	4.168040e+00
4.841828044257603e-03	4.500000e+00	4.183509e+00
4.878100365686174e-03	4.500000e+00	4.198954e+00
4.914372687114745e-03	4.500000e+00	4.214375e+00
4.950645008543315e-03	4.500000e+00	4.229771e+00
4.986917329971885e-03	4.500000e+00	4.245142e+00
5.023189651400456e-03	4.500000e+00	4.260489e+00
5.059461972829027e-03	4.500000e+00	4.275811e+00
5.092944115686169e-03	4.500000e+00	4.290040e+00
5.126426258543311e-03	4.500000e+00	4.304038e+00
5.159908401400453e-03	4.500000e+00	4.317804e+00
5.193390544257596e-03	4.500000e+00	4.331339e+00
5.226872687114738e-03	4.500000e+00	4.344643e+00
5.260354829971879e-03	4.500000e+00	4.357715e+00
5.293836972829022e-03	4.500000e+00	4.370556e+00
5.352430722829021e-03	4.500000e+00	4.391229e+00
5.383122687114735e-03	4.500000e+00	4.401172e+00
5.413814651400448e-03	4.500000e+00	4.410399e+00
5.444506615686162e-03	4.500000e+00	4.418910e+00
5.475198579971875e-03	4.500000e+00	4.426705e+00
5.505890544257589e-03	4.500000e+00	4.433783e+00
5.536582508543303e-03	4.500000e+00	4.440146e+00
5.567274472829016e-03	4.500000e+00	4.445792e+00
5.614707508543300e-03	4.500000e+00	4.452971e+00
5.662140544257586e-03	4.500000e+00	4.459280e+00
5.709573579971870e-03	4.500000e+00	4.464718e+00
5.757006615686155e-03	4.500000e+00	4.469286e+00
5.804439651400439e-03	4.500000e+00	4.472983e+00
5.851872687114725e-03	4.500000e+00	4.475809e+00
5.899305722829009e-03	4.500000e+00	4.477765e+00
5.960689651400436e-03	4.500000e+00	4.479910e+00
6.022073579971863e-03	4.500000e+00	4.481745e+00
6.083457508543291e-03	4.500000e+00	4.483272e+00
6.144841437114718e-03	4.500000e+00	4.484489e+00
6.206225365686146e-03	4.500000e+00	4.485398e+00
6.267609294257573e-03	4.500000e+00	4.485997e+00
6.328993222829000e-03	4.500000e+00	4.486288e+00
6.488033401400425e-03	4.500000e+00	4.486829e+00
6.647073579971850e-03	4.500000e+00	4.487261e+00
6.806113758543276e-03	4.500000e+00	4.487584e+00
6.965153937114701e-03	4.500000e+00	4.487798e+00
7.124194115686126e-03	4.500000e+00	4.487903e+00
7.283234294257551e-03	4.500000e+00	4.487898e+00
7.442274472828976e-03	4.500000e+00	4.487785e+00
9.001000000000000e-03	4.500000e+00	4.487796e+00
9.001021412212692e-03	4.457176e+00	4.487793e+00
9.001064236638077e-03	4.371527e+00	4.487781e+00
9.001115987223404e-03	4.268025e+00	4.487760e+00
9.001175781709144e-03	4.148437e+00	4.487731e+00
9.001251786431300e-03	3.996427e+00	4.487692e+00
9.001736507256407e-03	3.026985e+00	4.487445e+00
9.002000000000000e-03	2.500000e+00	4.487310e+00
