iy	I(Iz)
Step Information: Ix=1µ  (Run: 1/3)
1.258925411794168e-07	1.962153e-04
1.584893192461115e-07	1.896400e-04
1.995262314968881e-07	1.817240e-04
2.511886431509582e-07	1.723179e-04
3.162277660168382e-07	1.613305e-04
3.981071705534977e-07	1.487754e-04
5.011872336272728e-07	1.348236e-04
6.309573444801939e-07	1.198424e-04
7.943282347242824e-07	1.043894e-04
1.000000000000001e-06	8.913937e-05
1.258925411794169e-06	7.475217e-05
1.584893192461116e-06	6.173785e-05
1.995262314968883e-06	5.038198e-05
2.511886431509584e-06	4.075207e-05
3.162277660168384e-06	3.275701e-05
3.981071705534979e-06	2.621778e-05
5.011872336272732e-06	2.092343e-05
6.309573444801944e-06	1.666581e-05
7.943282347242830e-06	1.325695e-05
1.000000000000002e-05	1.053539e-05
1.258925411794170e-05	8.366517e-06
1.584893192461117e-05	6.640103e-06
1.995262314968884e-05	5.266902e-06
2.511886431509586e-05	4.175170e-06
3.162277660168387e-05	3.307477e-06
3.981071705534982e-05	2.617986e-06
5.011872336272735e-05	2.070171e-06
6.309573444801948e-05	1.634964e-06
7.943282347242836e-05	1.289246e-06
1.000000000000003e-04	1.014640e-06
1.258925411794171e-04	7.965394e-07
1.584893192461118e-04	6.233437e-07
1.995262314968885e-04	4.858377e-07
2.511886431509587e-04	3.767048e-07
3.162277660168389e-04	2.901381e-07
3.981071705534984e-04	2.215314e-07
5.011872336272738e-04	1.672344e-07
6.309573444801953e-04	1.243581e-07
7.943282347242841e-04	9.062138e-08
1.000000000000003e-03	6.422873e-08
1.258925411794171e-03	4.377469e-08
1.584893192461119e-03	2.816822e-08
1.995262314968886e-03	1.657355e-08
2.511886431509589e-03	8.363862e-09
3.162277660168390e-03	3.085154e-09
3.981071705534986e-03	4.272415e-10
5.011872336272740e-03	1.923722e-11
6.309573444801955e-03	5.944539e-11
7.943282347242843e-03	1.100638e-10
1.000000000000000e-02	1.737875e-10
Step Information: Ix=100µ  (Run: 3/3)
1.000000000000000e-08	2.163978e-03
1.258925411794167e-08	2.163397e-03
1.584893192461114e-08	2.162666e-03
1.995262314968880e-08	2.161747e-03
2.511886431509581e-08	2.160589e-03
3.162277660168381e-08	2.159134e-03
3.981071705534974e-08	2.157302e-03
5.011872336272726e-08	2.154999e-03
6.309573444801936e-08	2.152103e-03
7.943282347242821e-08	2.148462e-03
1.000000000000001e-07	2.143888e-03
1.258925411794168e-07	2.138143e-03
1.584893192461115e-07	2.130933e-03
1.995262314968881e-07	2.121891e-03
2.511886431509582e-07	2.110564e-03
3.162277660168382e-07	2.096392e-03
3.981071705534977e-07	2.078691e-03
5.011872336272728e-07	2.056629e-03
6.309573444801939e-07	2.029205e-03
7.943282347242824e-07	1.995235e-03
1.000000000000001e-06	1.953346e-03
1.258925411794169e-06	1.901993e-03
1.584893192461116e-06	1.839513e-03
1.995262314968883e-06	1.764243e-03
2.511886431509584e-06	1.674729e-03
3.162277660168384e-06	1.570047e-03
3.981071705534979e-06	1.450249e-03
5.011872336272732e-06	1.316859e-03
6.309573444801944e-06	1.173254e-03
7.943282347242830e-06	1.024635e-03
1.000000000000002e-05	8.773819e-04
1.258925411794170e-05	7.378282e-04
1.584893192461117e-05	6.109857e-04
1.995262314968884e-05	4.997852e-04
2.511886431509586e-05	4.050753e-04
3.162277660168387e-05	3.261432e-04
3.981071705534982e-05	2.613747e-04
5.011872336272735e-05	2.087958e-04
6.309573444801948e-05	1.664208e-04
7.943282347242836e-05	1.324341e-04
1.000000000000003e-04	1.052620e-04
1.258925411794171e-04	8.358394e-05
1.584893192461118e-04	6.631316e-05
1.995262314968885e-04	5.256640e-05
2.511886431509587e-04	4.163146e-05
3.162277660168389e-04	3.293693e-05
3.981071705534984e-04	2.602591e-05
5.011872336272738e-04	2.053383e-05
6.309573444801953e-04	1.617022e-05
7.943282347242841e-04	1.270386e-05
1.000000000000003e-03	9.950882e-06
1.258925411794171e-03	7.765108e-06
1.584893192461119e-03	6.030405e-06
1.995262314968886e-03	4.654561e-06
2.511886431509589e-03	3.564405e-06
3.162277660168390e-03	2.701923e-06
3.981071705534986e-03	2.021176e-06
5.011872336272740e-03	1.485846e-06
6.309573444801955e-03	1.067275e-06
7.943282347242843e-03	7.429094e-07
1.000000000000000e-02	4.950398e-07
